Low [MeV],High [MeV],Flux [cm-2 s-1],Flux error [cm-2 s-1]
"13.1","13.2","3.12E-02","1.72E-02"
"13.2","13.3","7.11E-02","3.98E-02"
"13.3","13.4","1.70E-02","9.86E-03"
"13.4","13.5","2.63E-02","1.31E-02"
"13.5","13.6","2.77E-02","2.77E-02"
"13.6","13.7","1.88E-02","1.37E-02"
"13.7","13.8","1.04E-02","7.36E-03"
"13.8","13.9","4.82E-03","4.82E-03"
"13.9","14.0","8.72E-03","8.72E-03"
"14.0","14.1","4.57E-02","2.96E-02"
"14.1","14.2","2.50E-02","1.63E-02"
"14.2","14.3","6.68E-02","3.47E-02"
"14.3","14.4","6.26E-02","4.08E-02"
"14.4","14.5","6.95E-02","2.88E-02"
"14.5","14.6","4.78E-02","2.93E-02"
"14.6","14.7","4.24E-02","3.10E-02"
"14.7","14.8","4.22E-02","2.75E-02"
"14.8","14.9","3.88E-02","3.44E-02"
"14.9","15.0","3.63E-02","3.19E-02"
"15.0","15.1","2.42E-02","1.25E-02"
"15.1","15.2","5.26E-03","5.26E-03"
"15.2","15.3","1.26E-02","7.74E-03"
"15.3","15.4","6.19E-03","6.19E-03"
"15.4","15.5","4.92E-03","4.92E-03"
"15.5","15.6","1.02E-02","7.23E-03"
"15.6","15.7","1.01E-02","7.17E-03"
"15.7","15.8","0.00E+00","0.00E+00"
"15.8","15.9","5.71E-02","3.66E-02"
"15.9","16.0","2.83E-02","2.83E-02"
"16.0","16.1","5.44E-02","3.75E-02"
"16.1","16.2","8.63E-03","6.34E-03"
"16.2","16.3","2.13E-02","1.70E-02"
"16.3","16.4","1.28E-02","8.55E-03"
"16.4","16.5","2.08E-02","1.30E-02"
"16.5","16.6","5.74E-02","3.41E-02"
"16.6","16.7","1.86E-02","1.05E-02"
"16.7","16.8","3.09E-02","1.67E-02"
"16.8","16.9","4.95E-03","3.55E-03"
"16.9","17.0","9.77E-03","7.10E-03"
"17.0","17.1","5.39E-03","5.39E-03"
"17.1","17.2","1.57E-02","9.11E-03"
"17.2","17.3","4.41E-02","3.20E-02"
"17.3","17.4","6.10E-03","6.10E-03"
"17.4","17.5","3.01E-02","1.36E-02"
"17.5","17.6","3.76E-02","3.24E-02"
"17.6","17.7","9.64E-04","9.64E-04"
"17.7","17.8","8.67E-03","6.19E-03"
"17.8","17.9","5.77E-02","2.68E-02"
"17.9","18.0","3.27E-02","3.27E-02"
"18.0","18.1","0.00E+00","0.00E+00"
"18.1","18.2","2.96E-02","1.32E-02"
"18.2","18.3","8.41E-03","7.01E-03"
"18.3","18.4","3.84E-02","1.58E-02"
"18.4","18.5","1.18E-02","8.35E-03"
"18.5","18.6","1.12E-02","7.95E-03"
"18.6","18.7","1.82E-02","1.05E-02"
"18.7","18.8","5.56E-03","5.56E-03"
"18.8","18.9","3.10E-02","1.39E-02"
"18.9","19.0","1.20E-02","8.52E-03"
"19.0","19.1","2.47E-02","1.95E-02"
"19.1","19.2","5.86E-03","5.86E-03"
"19.2","19.3","5.75E-03","5.75E-03"
"19.3","19.4","1.04E-02","7.49E-03"
"19.4","19.5","3.08E-02","2.74E-02"
"19.5","19.6","1.73E-02","1.73E-02"
"19.6","19.7","9.19E-03","6.67E-03"
"19.7","19.8","1.38E-02","9.78E-03"
"19.8","19.9","6.73E-03","6.73E-03"
"19.9","20.0","4.80E-02","3.26E-02"
