Low [MeV],High [MeV],Flux [cm-2 s-1],Flux error [cm-2 s-1]
"13.1","13.2","8.88E+02","2.37E+00"
"13.2","13.3","1.24E+03","2.78E+00"
"13.3","13.4","1.74E+03","3.30E+00"
"13.4","13.5","2.08E+03","3.59E+00"
"13.5","13.6","2.36E+03","3.83E+00"
"13.6","13.7","2.65E+03","4.10E+00"
"13.7","13.8","2.56E+03","4.04E+00"
"13.8","13.9","2.20E+03","3.76E+00"
"13.9","14.0","1.64E+03","3.24E+00"
"14.0","14.1","1.29E+03","2.88E+00"
"14.1","14.2","9.35E+02","2.46E+00"
"14.2","14.3","5.33E+02","1.84E+00"
"14.3","14.4","3.62E+02","1.53E+00"
"14.4","14.5","2.30E+02","1.22E+00"
"14.5","14.6","1.14E+02","8.51E-01"
"14.6","14.7","7.11E+01","6.80E-01"
"14.7","14.8","4.23E+01","5.27E-01"
"14.8","14.9","2.04E+01","3.62E-01"
"14.9","15.0","1.22E+01","2.82E-01"
"15.0","15.1","6.26E+00","2.03E-01"
"15.1","15.2","1.42E+00","9.19E-02"
"15.2","15.3","6.08E-01","6.16E-02"
"15.3","15.4","0.00E+00","0.00E+00"
"15.4","15.5","0.00E+00","0.00E+00"
"15.5","15.6","0.00E+00","0.00E+00"
"15.6","15.7","0.00E+00","0.00E+00"
"15.7","15.8","0.00E+00","0.00E+00"
"15.8","15.9","0.00E+00","0.00E+00"
"15.9","16.0","0.00E+00","0.00E+00"
"16.0","16.1","0.00E+00","0.00E+00"
"16.1","16.2","0.00E+00","0.00E+00"
"16.2","16.3","0.00E+00","0.00E+00"
"16.3","16.4","0.00E+00","0.00E+00"
"16.4","16.5","0.00E+00","0.00E+00"
"16.5","16.6","0.00E+00","0.00E+00"
"16.6","16.7","0.00E+00","0.00E+00"
"16.7","16.8","0.00E+00","0.00E+00"
"16.8","16.9","0.00E+00","0.00E+00"
"16.9","17.0","0.00E+00","0.00E+00"
"17.0","17.1","0.00E+00","0.00E+00"
"17.1","17.2","0.00E+00","0.00E+00"
"17.2","17.3","0.00E+00","0.00E+00"
"17.3","17.4","0.00E+00","0.00E+00"
"17.4","17.5","0.00E+00","0.00E+00"
"17.5","17.6","0.00E+00","0.00E+00"
"17.6","17.7","0.00E+00","0.00E+00"
"17.7","17.8","0.00E+00","0.00E+00"
"17.8","17.9","0.00E+00","0.00E+00"
"17.9","18.0","0.00E+00","0.00E+00"
"18.0","18.1","0.00E+00","0.00E+00"
"18.1","18.2","0.00E+00","0.00E+00"
"18.2","18.3","0.00E+00","0.00E+00"
"18.3","18.4","0.00E+00","0.00E+00"
"18.4","18.5","0.00E+00","0.00E+00"
"18.5","18.6","0.00E+00","0.00E+00"
"18.6","18.7","0.00E+00","0.00E+00"
"18.7","18.8","0.00E+00","0.00E+00"
"18.8","18.9","0.00E+00","0.00E+00"
"18.9","19.0","0.00E+00","0.00E+00"
"19.0","19.1","0.00E+00","0.00E+00"
"19.1","19.2","0.00E+00","0.00E+00"
"19.2","19.3","0.00E+00","0.00E+00"
"19.3","19.4","0.00E+00","0.00E+00"
"19.4","19.5","0.00E+00","0.00E+00"
"19.5","19.6","0.00E+00","0.00E+00"
"19.6","19.7","0.00E+00","0.00E+00"
"19.7","19.8","0.00E+00","0.00E+00"
"19.8","19.9","0.00E+00","0.00E+00"
"19.9","20.0","0.00E+00","0.00E+00"
