Low (MeV),High (MeV),Neutron flux (cm⁻²s⁻²),Neutron flux error (cm⁻²s⁻²),Photon flux (cm⁻²s⁻²),Photon flux error (cm⁻²s⁻²)
8.6,8.7,1.46E+02,1.64E+00,1.14E+01,5.77E-01
8.7,8.8,1.54E+02,1.64E+00,5.43E+00,4.23E-01
8.8,8.9,1.54E+02,1.65E+00,1.31E+02,1.53E+00
8.9,9.0,1.48E+02,1.57E+00,4.33E+01,8.23E-01
9.0,9.1,1.50E+02,1.57E+00,3.49E+00,3.49E-01
9.1,9.2,1.42E+02,1.53E+00,6.73E+01,1.14E+00
9.2,9.3,1.44E+02,1.53E+00,2.33E+01,1.22E+00
9.3,9.4,1.48E+02,1.54E+00,1.93E+00,2.81E-01
9.4,9.5,1.46E+02,1.53E+00,1.96E+00,2.98E-01
9.5,9.6,1.26E+02,1.42E+00,1.81E+00,3.35E-01
9.6,9.7,1.13E+02,1.37E+00,8.31E+00,4.91E-01
9.7,9.8,1.11E+02,1.35E+00,2.38E+00,3.60E-01
9.8,9.9,1.08E+02,1.37E+00,3.07E+00,3.05E-01
9.9,10.0,1.03E+02,1.34E+00,1.06E+00,2.33E-01
10.0,10.1,1.06E+02,1.38E+00,4.72E-01,8.21E-02
10.1,10.2,1.09E+02,1.41E+00,8.56E-01,2.50E-01
10.2,10.3,1.08E+02,1.41E+00,9.01E-01,2.31E-01
10.3,10.4,1.09E+02,1.46E+00,7.82E-01,1.94E-01
10.4,10.5,1.07E+02,1.45E+00,1.87E+01,7.44E-01
10.5,10.6,1.07E+02,1.46E+00,1.35E-01,4.14E-02
10.6,10.7,1.15E+02,1.55E+00,3.34E+01,1.57E+00
10.7,10.8,1.20E+02,1.61E+00,4.86E-01,1.23E-01
10.8,10.9,1.21E+02,1.59E+00,9.81E+00,5.32E-01
10.9,11.0,1.26E+02,1.61E+00,3.48E-01,1.02E-01
11.0,11.1,1.30E+02,1.63E+00,5.45E+01,1.28E+00
11.1,11.2,1.28E+02,1.59E+00,8.11E-02,3.96E-02
11.2,11.3,1.29E+02,1.57E+00,2.46E-02,1.74E-02
11.3,11.4,1.39E+02,1.57E+00,3.82E-02,2.14E-02
11.4,11.5,1.41E+02,1.58E+00,4.08E-02,2.36E-02
11.5,11.6,1.46E+02,1.60E+00,1.17E-02,1.17E-02
11.6,11.7,1.66E+02,1.63E+00,3.26E-02,2.37E-02
11.7,11.8,1.60E+02,1.63E+00,1.01E-01,4.53E-02
11.8,11.9,1.50E+02,1.59E+00,4.86E-02,2.43E-02
11.9,12.0,1.29E+02,1.46E+00,1.69E-01,7.99E-02
12.0,12.1,1.26E+02,1.47E+00,2.45E-01,7.06E-02
12.1,12.2,1.22E+02,1.42E+00,4.79E-01,1.07E-01
12.2,12.3,1.12E+02,1.40E+00,4.41E-02,2.24E-02
12.3,12.4,1.16E+02,1.43E+00,6.87E-03,6.87E-03
12.4,12.5,1.17E+02,1.45E+00,3.89E-02,2.19E-02
12.5,12.6,1.29E+02,1.49E+00,6.66E-02,2.93E-02
12.6,12.7,1.51E+02,1.58E+00,2.54E-02,1.80E-02
12.7,12.8,1.81E+02,1.69E+00,3.97E-02,2.25E-02
12.8,12.9,2.56E+02,1.99E+00,6.54E-02,2.73E-02
12.9,13.0,3.07E+02,2.15E+00,1.15E-02,1.15E-02
13.0,13.1,3.78E+02,2.36E+00,2.45E-02,1.74E-02
13.1,13.2,5.93E+02,2.88E+00,3.70E-02,2.14E-02
13.2,13.3,6.71E+02,3.05E+00,2.50E-02,1.77E-02
13.3,13.4,7.94E+02,3.33E+00,3.44E-02,2.02E-02
13.4,13.5,1.46E+03,4.43E+00,0.00E+00,0.00E+00
13.5,13.6,1.73E+03,4.77E+00,4.13E-02,3.21E-02
13.6,13.7,1.93E+03,5.03E+00,1.35E-02,1.35E-02
13.7,13.8,2.86E+03,6.11E+00,6.44E-02,2.89E-02
13.8,13.9,3.17E+03,6.41E+00,2.53E-02,1.80E-02
13.9,14.0,2.95E+03,6.17E+00,3.40E-03,3.40E-03
14.0,14.1,2.06E+03,5.17E+00,1.63E-01,1.29E-01
14.1,14.2,1.76E+03,4.76E+00,0.00E+00,0.00E+00
14.2,14.3,1.50E+03,4.38E+00,4.36E-02,2.23E-02
14.3,14.4,7.33E+02,3.06E+00,3.39E-02,1.91E-02
14.4,14.5,4.95E+02,2.53E+00,1.19E-02,1.19E-02
14.5,14.6,3.98E+02,2.26E+00,1.27E-02,1.27E-02
14.6,14.7,1.65E+02,1.45E+00,2.65E-02,1.87E-02
14.7,14.8,9.63E+01,1.11E+00,1.68E-01,1.08E-01
14.8,14.9,7.46E+01,9.84E-01,1.36E-02,1.36E-02
14.9,15.0,3.08E+01,6.22E-01,6.46E-02,5.39E-02
15.0,15.1,1.91E+01,4.95E-01,1.12E-02,1.12E-02
15.1,15.2,1.37E+01,4.18E-01,1.45E-01,8.80E-02
15.2,15.3,2.71E+00,1.84E-01,1.15E-02,1.15E-02
15.3,15.4,2.31E-01,5.33E-02,9.19E-02,6.05E-02
15.4,15.5,0.00E+00,0.00E+00,5.17E-02,2.45E-02
15.5,15.6,0.00E+00,0.00E+00,1.68E-01,1.45E-01
15.6,15.7,0.00E+00,0.00E+00,2.28E-02,1.61E-02
15.7,15.8,0.00E+00,0.00E+00,4.71E-02,2.36E-02
15.8,15.9,0.00E+00,0.00E+00,1.44E-01,1.02E-01
15.9,16.0,0.00E+00,0.00E+00,2.50E-02,1.77E-02
16.0,16.1,0.00E+00,0.00E+00,1.16E-02,1.16E-02
16.1,16.2,0.00E+00,0.00E+00,2.46E-02,1.74E-02
16.2,16.3,0.00E+00,0.00E+00,1.20E-02,1.20E-02
16.3,16.4,0.00E+00,0.00E+00,1.23E-02,1.23E-02
16.4,16.5,0.00E+00,0.00E+00,5.79E-02,2.59E-02
16.5,16.6,0.00E+00,0.00E+00,3.54E-02,2.05E-02
16.6,16.7,0.00E+00,0.00E+00,1.55E-01,1.44E-01
16.7,16.8,0.00E+00,0.00E+00,0.00E+00,0.00E+00
16.8,16.9,0.00E+00,0.00E+00,1.05E-02,1.05E-02
16.9,17.0,0.00E+00,0.00E+00,0.00E+00,0.00E+00
17.0,17.1,0.00E+00,0.00E+00,1.15E-02,1.15E-02
17.1,17.2,0.00E+00,0.00E+00,1.31E-02,1.31E-02
17.2,17.3,0.00E+00,0.00E+00,1.56E-01,1.44E-01
17.3,17.4,0.00E+00,0.00E+00,2.46E-02,1.74E-02
17.4,17.5,0.00E+00,0.00E+00,7.65E-02,2.97E-02
17.5,17.6,0.00E+00,0.00E+00,4.71E-02,2.36E-02
17.6,17.7,0.00E+00,0.00E+00,1.69E-02,1.27E-02
17.7,17.8,0.00E+00,0.00E+00,0.00E+00,0.00E+00
17.8,17.9,0.00E+00,0.00E+00,5.08E-02,3.15E-02
17.9,18.0,0.00E+00,0.00E+00,7.63E-02,3.12E-02
18.0,18.1,0.00E+00,0.00E+00,4.79E-02,2.40E-02
18.1,18.2,0.00E+00,0.00E+00,3.79E-02,2.20E-02
18.2,18.3,0.00E+00,0.00E+00,2.41E-02,1.71E-02
18.3,18.4,0.00E+00,0.00E+00,2.43E-02,1.66E-02
18.4,18.5,0.00E+00,0.00E+00,2.64E-02,1.80E-02
18.5,18.6,0.00E+00,0.00E+00,4.71E-02,2.36E-02
18.6,18.7,0.00E+00,0.00E+00,4.85E-02,2.43E-02
18.7,18.8,0.00E+00,0.00E+00,1.20E-02,1.20E-02
18.8,18.9,0.00E+00,0.00E+00,3.51E-02,2.04E-02
18.9,19.0,0.00E+00,0.00E+00,8.53E-02,3.23E-02
19.0,19.1,0.00E+00,0.00E+00,4.85E-02,2.43E-02
19.1,19.2,0.00E+00,0.00E+00,2.46E-02,1.75E-02
19.2,19.3,0.00E+00,0.00E+00,4.73E-02,2.36E-02
19.3,19.4,0.00E+00,0.00E+00,6.15E-02,2.75E-02
19.4,19.5,0.00E+00,0.00E+00,5.82E-03,5.82E-03
19.5,19.6,0.00E+00,0.00E+00,0.00E+00,0.00E+00
19.6,19.7,0.00E+00,0.00E+00,4.97E-02,2.46E-02
19.7,19.8,0.00E+00,0.00E+00,0.00E+00,0.00E+00
19.8,19.9,0.00E+00,0.00E+00,7.16E-02,2.93E-02
19.9,20.0,0.00E+00,0.00E+00,2.58E-02,1.83E-02
